loan_id,payment_amount,payment_date,missed
10881,2987,2014-04-22,0
10881,2696,2014-05-28,1
10881,2924,2014-07-14,0
10881,2734,2014-08-05,0
10881,2534,2014-08-18,0
10881,2259,2014-10-06,1
10881,1964,2014-11-18,1
11752,1149,2010-08-04,1
11752,1278,2010-09-16,1
11752,1753,2010-10-16,1
11752,1622,2010-11-10,1
11752,1251,2010-12-26,1
11752,1291,2011-01-23,0
11191,1603,2016-05-13,0
11191,2400,2016-06-12,0
11191,2333,2016-06-27,1
11191,2630,2016-07-09,0
11191,1684,2016-08-18,0
11191,2544,2016-09-29,1
11191,1673,2016-11-07,0
11191,2633,2016-11-30,0
11191,1929,2017-01-11,1
10279,1148,2014-01-30,0
10279,1390,2014-03-14,1
10279,1706,2014-03-29,1
10279,1319,2014-04-09,1
10279,1683,2014-04-25,1
10769,2105,2011-03-11,1
10769,2229,2011-04-20,1
10769,2096,2011-06-04,0
10769,2030,2011-06-19,1
10769,1393,2011-07-02,1
10769,2485,2011-07-22,1
10769,1632,2011-08-13,1
10769,2154,2011-09-01,0
10769,1689,2011-09-16,0
11326,974,2018-09-16,0
11326,1157,2018-10-27,1
11326,863,2018-12-09,0
11326,713,2019-01-25,1
11326,1166,2019-02-09,1
11326,843,2019-03-02,1
11326,1088,2019-04-10,0
11326,694,2019-05-06,1
10992,484,2012-11-19,1
10992,829,2012-12-30,0
10992,569,2013-02-15,1
10992,851,2013-03-14,0
10992,530,2013-04-07,0
10992,786,2013-05-26,0
10992,784,2013-06-07,0
10992,581,2013-07-17,0
10907,2025,2010-06-06,1
10907,1282,2010-07-12,0
10907,1240,2010-07-25,0
10907,1829,2010-08-29,0
10907,2051,2010-10-06,0
10907,1793,2010-11-24,0
10907,1507,2010-12-30,0
10907,1884,2011-02-06,0
10907,1216,2011-03-22,0
11373,785,2014-06-28,0
11373,929,2014-08-05,0
11373,718,2014-08-25,0
11373,575,2014-10-13,1
11373,749,2014-11-17,0
11373,703,2014-12-12,1
11373,803,2014-12-30,1
11373,842,2015-01-19,0
11373,848,2015-02-26,0
11761,1488,2016-05-17,1
11761,2474,2016-05-30,0
11761,1624,2016-07-05,0
11761,2488,2016-08-10,0
11761,1655,2016-09-14,1
11761,1383,2016-10-09,1
11090,1538,2014-07-28,0
11090,2018,2014-09-10,1
11090,1469,2014-09-29,0
11090,1571,2014-11-05,0
11090,1184,2014-12-12,1
11090,1296,2015-01-09,0
11090,1668,2015-02-20,0
11359,406,2011-02-15,1
11359,354,2011-02-27,0
11359,356,2011-04-17,1
11359,409,2011-05-04,1
11359,360,2011-06-17,1
11359,468,2011-07-20,1
11359,373,2011-08-06,0
11359,358,2011-09-08,1
11502,863,2011-01-06,0
11502,1207,2011-02-17,0
11502,1273,2011-03-29,0
11502,1181,2011-05-13,0
11502,1123,2011-06-08,0
11689,1022,2014-06-05,0
11689,1481,2014-07-10,1
11689,990,2014-07-29,1
11689,1564,2014-08-19,1
11689,1669,2014-09-11,1
11689,1666,2014-10-16,1
11689,1070,2014-10-29,1
11689,1634,2014-11-25,0
11689,1436,2014-12-21,1
11401,2242,2015-06-25,1
11401,2528,2015-08-02,0
11401,1419,2015-09-03,1
11401,1501,2015-10-18,1
11401,2263,2015-11-05,1
11401,2493,2015-11-19,0
11401,2180,2015-12-30,0
11401,2011,2016-02-17,0
11401,1443,2016-03-07,0
11762,924,2014-10-25,1
11762,1052,2014-11-18,0
11762,1122,2014-12-23,0
11762,1037,2015-01-26,0
11762,621,2015-02-05,1
11762,702,2015-02-27,1
11762,975,2015-03-16,0
11762,725,2015-04-26,0
11353,272,2016-11-22,0
11353,417,2016-12-16,1
11353,231,2017-01-01,1
11353,338,2017-01-27,1
11353,359,2017-02-11,0
11353,334,2017-03-24,0
10570,1190,2016-09-19,1
10570,1344,2016-10-17,1
10570,1048,2016-11-27,0
10570,1016,2017-01-07,0
10570,1326,2017-02-10,1
11250,1428,2020-12-21,1
11250,1404,2021-01-27,1
11250,1560,2021-03-10,0
11250,901,2021-04-10,1
11250,836,2021-05-01,0
11681,1489,2011-01-19,1
11681,1183,2011-01-29,0
11681,1215,2011-02-14,1
11681,1569,2011-03-26,0
11681,1356,2011-05-07,0
11681,1599,2011-06-08,1
11681,1532,2011-07-19,0
11681,1360,2011-08-23,1
11681,838,2011-10-06,0
11788,1297,2010-06-29,1
11788,870,2010-07-28,0
11788,800,2010-08-26,0
11788,1263,2010-09-30,0
11788,943,2010-10-26,1
11788,1424,2010-11-08,0
11788,1379,2010-11-26,1
11788,802,2010-12-07,0
10579,530,2014-04-14,1
10579,519,2014-06-02,0
10579,739,2014-06-19,0
10579,524,2014-06-30,1
10579,711,2014-07-19,1
10568,1987,2016-08-19,0
10568,1952,2016-09-14,1
10568,2363,2016-10-20,0
10568,2277,2016-12-06,0
10568,2373,2016-12-19,1
10568,1509,2017-02-04,1
11386,1118,2013-08-13,1
11386,1357,2013-10-01,1
11386,1466,2013-11-11,0
11386,1046,2013-12-25,0
11386,1368,2014-01-06,1
11386,1679,2014-02-19,1
11386,1475,2014-03-30,0
11927,1189,2011-10-05,0
11927,1078,2011-11-23,1
11927,1286,2011-12-09,0
11927,1298,2012-01-18,0
11927,960,2012-02-28,1
10800,434,2017-02-26,0
10800,386,2017-04-05,1
10800,444,2017-05-12,0
10800,321,2017-06-21,0
10800,447,2017-08-07,0
10800,272,2017-09-10,1
11504,1439,2019-08-30,0
11504,1399,2019-10-12,0
11504,1757,2019-11-19,1
11504,2239,2019-12-14,0
11504,2281,2020-01-03,0
11504,1787,2020-02-11,1
